,city,lat,lon,temp,wind_speed,humidity %,cloudiness %
107,Tamiahua,21.28,-97.45,84.2,10.13,88,82
108,Nanning,22.83,108.3,91.4,4.47,63,0
109,Salekhard,66.54,66.62,46.23,8.72,66,100
110,Salalah,17.01,54.1,78.8,4.7,94,90
111,Fort Nelson,58.81,-122.69,59.0,8.05,72,75
112,Lebu,8.96,38.73,51.04,2.89,84,6
113,Ozernovskiy,51.5,156.52,50.36,13.29,80,89
114,Radyvyliv,50.13,25.25,57.52,5.77,75,80
115,Grand Gaube,-20.01,57.66,70.0,8.05,83,40
116,Thunder Bay,48.41,-89.26,54.54,5.82,87,5
117,Saint Anthony,43.97,-111.68,74.17,10.29,27,1
118,North Platte,41.12,-100.77,65.7,9.17,88,75
119,Icod de los Vinos,28.37,-16.71,78.19,8.05,17,4
120,Dicabisagan,17.08,122.42,85.73,4.21,70,100
121,Salinopolis,-0.61,-47.36,80.74,18.01,81,0
122,Lavrentiya,65.58,-170.99,58.89,9.6,51,61
123,Sturgis,51.94,-102.54,63.84,7.67,86,80
124,Sobolevo,54.43,31.9,53.52,4.27,93,0
125,Zhigansk,66.77,123.37,65.69,6.4,45,5
126,Nouadhibou,20.93,-17.03,71.6,9.17,94,46
127,Yanam,16.73,82.22,82.4,9.17,78,75
128,Puerto del Rosario,28.5,-13.86,76.23,13.87,78,51
129,Tasiilaq,65.61,-37.64,41.0,10.29,93,100
130,Binzhou,37.38,117.96,87.01,1.01,43,69
131,Khani,41.96,42.96,71.6,2.24,100,90
132,Dongsheng,29.72,112.52,87.58,11.34,64,0
133,Tutoia,-2.76,-42.27,76.38,4.65,77,97
134,Vao,59.1,26.19,52.32,4.23,93,54
135,Nakatsugawa,35.49,137.5,86.97,8.97,42,0
136,Deputatskiy,69.3,139.9,58.62,9.35,64,41
137,Ushtobe,45.25,77.98,71.47,16.08,35,0
138,Sao Filipe,14.9,-24.5,78.65,13.8,85,48
139,Seoul,37.57,126.98,80.2,3.36,65,1
140,Touros,-5.2,-35.46,73.4,4.7,94,40
141,Mar del Plata,-46.43,-67.52,45.37,17.72,69,43
142,Codrington,-28.95,153.24,77.94,3.36,30,6
143,Esperance,-33.86,121.89,53.6,9.17,62,40
144,Port Hardy,50.7,-127.42,57.2,6.93,93,90
145,Poum,41.28,20.71,59.37,4.09,68,0
146,Yerkoy,39.64,34.47,66.66,5.39,60,0
147,Cockburn Town,21.46,-71.14,83.55,19.71,82,12
148,San Francisco,1.17,-76.88,48.66,1.19,91,88
149,Marzuq,14.4,46.47,78.11,4.74,39,27
150,San Patricio,-26.98,-56.83,57.21,5.68,74,0
151,Mahebourg,-20.41,57.7,69.6,8.05,83,40
152,Cherskiy,68.75,161.3,69.98,4.05,32,97
153,Honningsvag,70.98,25.97,43.62,12.77,67,0
154,Upernavik,72.79,-56.15,43.03,9.98,68,100
155,Black River,18.03,-77.85,80.6,8.05,83,20
156,Harnosand,62.63,17.94,55.04,2.24,93,100
157,Sioux Lookout,50.1,-91.92,66.2,9.17,68,20
158,San Jose,14.25,-87.96,75.2,11.41,78,20
159,Paso de Carrasco,-34.86,-56.05,53.38,13.87,76,0
160,Tuktoyaktuk,69.44,-133.03,44.6,18.34,87,90
161,Ponta do Sol,-20.63,-46.0,58.28,5.73,65,0
162,Henderson,36.04,-114.98,95.31,5.82,23,1
163,Price,39.6,-110.81,73.11,8.14,18,1
